term	D3_magFC.x	numprots	D5_magFC.x	D7_magFC.x	D9_magFC.x	D11_magFC.x	D13_magFC.x	D3_magFC.y	D5_magFC.y	D7_magFC.y	D9_magFC.y	D11_magFC.y	D13_magFC.y
transferase activity, transferring ...	2.90689059560852	2	2.40599235967584	1.96834309839146	2.21569498802356	2.12024040538056	3.8109404468685	1.45344529780426	1.20299617983792	0.98417154919573	1.10784749401178	1.06012020269028	1.90547022343425
translation	1.84201135496649	6	0.730850533663149	1.5056572077249	2.71190778087617	3.36585601190134	3.67481232665169	0.307001892494414	0.121808422277192	0.250942867954149	0.451984630146029	0.560976001983557	0.612468721108615
translation factor activity, RNA bi...	2.80806949126204	7	1.61350606380293	2.92902999051704	3.78227481165102	1.97539829928188	1.56975764634088	0.401152784466006	0.230500866257562	0.418432855788148	0.540324973093003	0.282199757040268	0.224251092334412
transmembrane transport	3.22389275941491	3	0.627167041763013	1.31473718514439	0.817024851589398	1.79645691158704	0.588064061767454	1.07463091980497	0.209055680587671	0.438245728381462	0.272341617196466	0.598818970529015	0.196021353922485
transmembrane transporter activity	3.22389275941491	3	0.627167041763013	1.31473718514439	0.817024851589398	1.79645691158704	0.588064061767454	1.07463091980497	0.209055680587671	0.438245728381462	0.272341617196466	0.598818970529015	0.196021353922485
transport	12.3153871080841	16	5.10712104472481	7.46923384680613	8.4343962127548	10.5270405634518	14.5605424177702	0.769711694255254	0.319195065295301	0.466827115425383	0.527149763297175	0.657940035215738	0.910033901110636
ubiquitin-like protein binding	0.985066742690038	1	0.942075532076086	1.44925325522712	1.85702828269689	0.80497332807729	0.785102585520192	0.985066742690038	0.942075532076086	1.44925325522712	1.85702828269689	0.80497332807729	0.785102585520192
unfolded protein binding	0.757275567541758	4	0.732311356357609	0.640386904362758	1.58886418124237	0.526646005130334	1.41641771976183	0.18931889188544	0.183077839089402	0.160096726090689	0.397216045310593	0.131661501282584	0.354104429940457
vacuolar transport	0.998571007039785	1	0.237082327648159	0.00617271876647418	0.060015304860741	0.236023145344764	0.399073533311495	0.998571007039785	0.237082327648159	0.00617271876647418	0.060015304860741	0.236023145344764	0.399073533311495
vesicle-mediated transport	3.91900538177673	5	1.68601226923911	2.18261805813825	2.56530697815087	3.90426910184492	3.60924011239151	0.783801076355347	0.337202453847821	0.43652361162765	0.513061395630174	0.780853820368984	0.721848022478302
