protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterID,ClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_ARGI.1.2.m.3263,-0.0184843926025253,-0.03944223996047,Yes,5,darkslategray1,Arginase; hepatic (EC 3.5.3.1),Arginase family,,GO:0000050; GO:0004053; GO:0006525; GO:0046872,GO:0006525,cellular amino acid metabolic process; small molecule metabolic process
CHOYP_TXND3.2.4.m.21415,-0.0128642420874573,-0.0360794084072834,Yes,5,darkslategray1,Thioredoxin domain-containing protein 3 homolog (Intermediate chain 1) (NME/NM23 family member 8),NDK family,NME8 IC1,GO:0004550; GO:0005623; GO:0006183; GO:0006228; GO:0006241; GO:0007275; GO:0007283; GO:0030154; GO:0045454,GO:0006183; GO:0006228; GO:0006241,biosynthetic process; cellular nitrogen compound metabolic process; small molecule metabolic process
CHOYP_contig_026700.m.30399,-0.0428762018204137,0.00777259987558961,Yes,5,darkslategray1,Fibrillin-1 [Cleaved into: Asprosin],Fibrillin family,FBN1 FBN,GO:0001501; GO:0001527; GO:0001656; GO:0005178; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005788; GO:0006006; GO:0007507; GO:0008201; GO:0010737; GO:0030023; GO:0030198; GO:0031012; GO:0033627; GO:0034199; GO:0035582; GO:0035583; GO:0042593; GO:0042802; GO:0043010; GO:0043687; GO:0044267; GO:0044877; GO:0045671; GO:0048048; GO:0048050; GO:0062023; GO:0071560; GO:1990314; GO:2001205,GO:0006006; GO:0030198; GO:0034199; GO:0035582; GO:0035583; GO:0048050; GO:1990314; GO:2001205,immune system process; carbohydrate metabolic process; cellular protein modification process; signal transduction; biosynthetic process; cell differentiation; extracellular matrix organization; cellular nitrogen compound metabolic process; small molecule metabolic process; anatomical structure development
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,-0.0526609781808504,-0.0214059821132185,Yes,5,darkslategray1,Acidic mammalian chitinase (AMCase) (EC 3.2.1.14),Glycosyl hydrolase 18 family; Chitinase class II subfamily,Chia,GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0090197,GO:0002532; GO:0006032; GO:0090197,transport; response to stress; catabolic process
CHOYP_LOC100370738.1.1.m.30463,-0.0407385095929977,-0.0166604348875075,Yes,5,darkslategray1,Apolipoprotein D (Apo-D) (ApoD),Calycin superfamily; Lipocalin family,Apod,GO:0000302; GO:0005615; GO:0005737; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0042493; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405,GO:0000302; GO:0006006; GO:0010642; GO:0014012; GO:0042246; GO:0042308; GO:0048662; GO:0051895; GO:0071638; GO:1900016,carbohydrate metabolic process; transport; nucleocytoplasmic transport; response to stress; cell adhesion; signal transduction; cell proliferation; cellular component assembly; cell differentiation; cell junction organization; growth; small molecule metabolic process; anatomical structure development
CHOYP_LOC577063.1.1.m.30814,-0.0364712263970825,-0.0114270953574515,Yes,5,darkslategray1,Apolipoprotein D (Apo-D) (ApoD),Calycin superfamily; Lipocalin family,APOD,GO:0000302; GO:0001525; GO:0005319; GO:0005576; GO:0005615; GO:0005737; GO:0005783; GO:0006006; GO:0006629; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0042493; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0070062; GO:0071638; GO:1900016; GO:2000098; GO:2000405,GO:0000302; GO:0006006; GO:0010642; GO:0014012; GO:0042246; GO:0042308; GO:0048662; GO:0051895; GO:0071638; GO:1900016,carbohydrate metabolic process; transport; nucleocytoplasmic transport; response to stress; cell adhesion; signal transduction; cell proliferation; cellular component assembly; cell differentiation; cell junction organization; growth; small molecule metabolic process; anatomical structure development
CHOYP_ACA1_091870.1.1.m.43726,-0.0315796921238855,0.0398694557491614,Yes,5,darkslategray1,Calmodulin (CaM),Calmodulin family,calm,GO:0005509; GO:0019722,NA,NA
CHOYP_BRAFLDRAFT_125073.1.1.m.1752,-0.00700028997914517,-0.046725175880577,Yes,5,darkslategray1,Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-interacting protein 1),,Hspbp1 Hspbp,GO:0000774; GO:0005737; GO:0005783; GO:0031398; GO:0031625; GO:0032436,NA,NA
CHOYP_BRAFLDRAFT_129759.2.2.m.30082,-0.0443657204911396,-0.0204336215724451,Yes,5,darkslategray1,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_BRAFLDRAFT_151236.1.1.m.30653,-0.0521058591435042,-0.0197508262370754,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_201924.1.1.m.30855,-0.0477843888484935,-0.0220482788409078,Yes,5,darkslategray1,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_BRAFLDRAFT_84494.2.5.m.30751,-0.0402520526367712,-0.0142437530289623,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_CALM.49.50.m.63320,0.00331933397588247,-0.0421365050414662,Yes,5,darkslategray1,Calmodulin (CaM),Calmodulin family,,GO:0005509,NA,NA
CHOYP_CBG11254.1.1.m.9107,-0.0444157500011776,-0.0282660736611259,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_CO5A2.1.1.m.28030,-0.040776879984502,-0.0178679602950957,Yes,5,darkslategray1,Collagen-like protein 7,,MIMI_L669,GO:0019012,NA,NA
CHOYP_COCA1.3.6.m.49360,-0.039732882219762,-0.025285908164623,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_007998.m.9259,-0.0482163236611029,-0.0197376675172125,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_008002.m.9263,-0.0543233446188463,-0.0230728961984247,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_008503.m.9899,-0.039920588941914,-0.0254053642592494,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_023945.m.27245,-0.0463295994818714,-0.0190703975999535,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_024012.m.27306,-0.0494653310699132,-0.0019482740504983,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_024418.m.27769,-0.0437115934160523,-0.0115087156285532,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_024582.m.27943,-0.0402501611011714,-0.0186222214415043,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_025149.m.28635,-0.048687699574399,-0.00872210696918633,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_025272.m.28780,-0.0366441279789815,0.00283063305014207,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_025679.m.29295,-0.0447806250482168,-0.0194454797672753,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_025702.m.29329,-0.0473965468007217,-0.0191272622204407,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026129.m.29781,-0.0480860787422976,-0.0185490993436836,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026328.m.29985,-0.0358060544425788,-0.0227868846605401,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026477.m.30166,-0.0486314138512083,-0.023632366472393,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026494.m.30182,-0.0445865469445033,-0.0192181802345389,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026723.m.30427,-0.0477651304299316,-0.0186795560567036,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026959.m.30676,-0.0420501515440337,-0.0177866333835997,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_026975.m.30698,-0.0431358281758361,-0.00424650335290865,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_027304.m.31034,-0.0525666380832899,-0.0206461989013497,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_031126.m.35509,-0.0424476685428748,-0.0173073754893285,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_040577.m.46077,-0.0298468116815244,0.0437471603188086,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_048277.m.57151,-0.0452143031019702,0.0213458752220513,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_contig_048805.m.57897,-0.0401278745596701,0.00275657085206168,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_COX1.1.15.m.3193,-0.0396458002727958,-0.00788590519262186,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_DDB_G0275195.1.1.m.47584,-0.0362037300058993,-0.00110073039892641,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175722.1.3.m.11427,-0.0512345556400202,-0.0218416524079778,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183353.1.1.m.54920,-0.0478925176904935,0.00696576426718667,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100184451.1.8.m.30146,-0.0419018828594429,-0.00779993658198205,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100367089.1.4.m.1412,-0.0342579616123643,-0.037551280677006,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100368360.1.1.m.9672,-0.0434976893020351,-0.00281034076277926,Yes,5,darkslategray1,Uncharacterized protein C1orf158 homolog,,,,NA,NA
CHOYP_LOC100370323.1.1.m.62024,-0.0118925811221773,-0.0417071420442404,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100372505.2.2.m.26614,-0.040528112948515,-0.018108296670117,Yes,5,darkslategray1,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_LOC100373444.44.79.m.39021,-0.00473290450517164,-0.0414916040002312,Yes,5,darkslategray1,Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22),TRIM/RBCC family,Trim3 Berp Rnf22,GO:0000209; GO:0005737; GO:0005769; GO:0005794; GO:0008270; GO:0015031; GO:0030425; GO:0043161; GO:0061630; GO:0098794; GO:0098978,NA,NA
CHOYP_LOC100377195.1.2.m.28624,-0.0369831885336824,0.0115166591740896,Yes,5,darkslategray1,Mesenchyme-specific cell surface glycoprotein (MSP130),,,GO:0005886; GO:0031225,NA,NA
CHOYP_LOC100485485.1.1.m.27961,-0.0438553443225044,-0.0279094328705715,Yes,5,darkslategray1,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_LOC100533291.4.7.m.29195,-0.0387626266983625,-0.0145445453801507,Yes,5,darkslategray1,60S ribosomal protein L27a,Universal ribosomal protein uL15 family,Rpl27a,GO:0003735; GO:0006412; GO:0022625,NA,NA
CHOYP_LOC100533367.1.1.m.49626,-0.0485996664966578,0.00386291074113998,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100555907.1.1.m.27452,-0.0542848988067674,-0.0215852628093042,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC100749506.1.1.m.8951,-0.0466854651304682,-0.0216091881297334,Yes,5,darkslategray1,Leucine-rich repeat-containing protein 23 (Leucine-rich protein B7),,Lrrc23 Lrpb7,GO:0005737; GO:0005829,NA,NA
CHOYP_LOC100899149.2.2.m.29105,-0.0400708667192507,-0.00851812121643888,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC101033229.1.1.m.38291,-0.0390712171351915,-0.015991215880273,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_LOC101064693.1.2.m.30288,-0.0360279464936776,-0.0116308202891996,Yes,5,darkslategray1,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4),Type VI collagen family,COL6A5 COL29A1 VWA4,GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023,NA,NA
CHOYP_LOC576665.1.2.m.10867,-0.0375178140210052,-0.0172382323339702,Yes,5,darkslategray1,Uncharacterized protein C2orf73 homolog,,,,NA,NA
CHOYP_LOC581183.1.1.m.49767,-0.0398232133085418,-0.0185996853578902,Yes,5,darkslategray1,Tetratricopeptide repeat protein 25 (TPR repeat protein 25),,ttc25,GO:0005737; GO:0005856; GO:0032474; GO:0042995; GO:0060271; GO:0061371,NA,NA
CHOYP_LOC592209.1.1.m.48009,-0.0355398642130744,-0.00432411059840409,Yes,5,darkslategray1,Ciliary-associated calcium-binding coiled-coil protein 1,,CABCOCO1 C10orf107,GO:0005509; GO:0005737; GO:0005813; GO:0036126,NA,NA
CHOYP_MDN1.3.8.m.3846,-0.0300073356889791,0.03681232837403,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_MLRA.3.3.m.62296,-0.0142925052081113,-0.0561848588755786,Yes,5,darkslategray1,Myosin regulatory light chain A; smooth adductor muscle,,,GO:0005509; GO:0016459,NA,NA
CHOYP_MSI2H.3.3.m.35858,-0.0489890136688613,0.0183007067073323,Yes,5,darkslategray1,RNA-binding protein Musashi homolog Rbp6,Musashi family,Rbp6 RRM6 CG32169,GO:0003723; GO:0003727; GO:0005737; GO:0005844; GO:0008266; GO:0048864; GO:1990904,NA,NA
CHOYP_NRP.1.4.m.29956,-0.0354909504022708,-0.0161845791826413,Yes,5,darkslategray1,Asparagine-rich protein (Prism uncharacterized shell protein 1) (PUSP1),,,GO:0005576,NA,NA
CHOYP_PRP6.2.2.m.34365,-0.0631193484922676,0.0262337314434703,Yes,5,darkslategray1,Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta),GST superfamily; Theta family,,GO:0004364; GO:0005737,NA,NA
CHOYP_RCOM_1886900.1.1.m.11248,-0.0511209105006822,-0.0208368951106213,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_SIP.1.1.m.5725,-0.0452743739974857,0.0253689476290606,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_SVIL.1.1.m.1136,-0.0367562630792551,0.00210112048278641,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_TBA.3.6.m.29936,-0.0536641547442032,-0.0224723236092165,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_TBA1A.2.4.m.19573,-0.0351949175820444,-0.00593776807628648,Yes,5,darkslategray1,Tubulin alpha-8 chain (Fragment),Tubulin family,,GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017,NA,NA
CHOYP_TSP_09282.1.1.m.18814,-0.036083406071127,-0.00689421820029541,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_TVAG_355490.15.22.m.47579,-0.0262952693448872,0.0358419608269382,Yes,5,darkslategray1,NA,NA,NA,NA,NA,NA
CHOYP_U728.1.1.m.63184,-0.0347029597468468,0.0364467869690198,Yes,5,darkslategray1,UPF0728 protein,UPF0728 family,BRAFLDRAFT_270831,,NA,NA
CHOYP_YBOXH.2.4.m.3352,-0.04219124482523,0.0190214500999903,Yes,5,darkslategray1,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_BRAFLDRAFT_284508.1.1.m.4587,-0.0369303755280097,-0.0145540511666833,Yes,4,purple,DNA polymerase epsilon subunit 4 (EC 2.7.7.7) (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12),,POLE4,GO:0000082; GO:0003677; GO:0003887; GO:0005634; GO:0005654; GO:0005671; GO:0008622; GO:0043966; GO:0046982,GO:0043966,cellular protein modification process; chromosome organization
CHOYP_BRAFLDRAFT_89746.1.2.m.29425,-0.0399898478024049,0.0256198387743231,Yes,4,purple,Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain],NOTCH family,Notch3,GO:0005509; GO:0005634; GO:0005886; GO:0006355; GO:0007219; GO:0007275; GO:0016021; GO:0030154; GO:0038023; GO:0042060; GO:0042246; GO:0050793,GO:0042246,response to stress; growth; anatomical structure development
CHOYP_LOC100372607.1.1.m.49009,-0.0380506572658657,-0.00951569698469211,Yes,4,purple,Cytoplasmic dynein 2 light intermediate chain 1,Dynein light intermediate chain family,DYNC2LI1,GO:0005737; GO:0005813; GO:0005868; GO:0005874; GO:0005930; GO:0007368; GO:0008569; GO:0030990; GO:0031514; GO:0035721; GO:0035735; GO:0035869; GO:0036064; GO:0045177; GO:0045504; GO:1902017,GO:0035721; GO:0035735; GO:1902017,transport; cellular component assembly; cytoskeleton-dependent intracellular transport
CHOYP_THTR.1.1.m.25924,-0.0251193703958107,0.0365030535052163,Yes,4,purple,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic-interferon-induced mortality 19 protein) (GRIM-19) (NADH-ubiquinone oxidoreductase B16.6 subunit),Complex I NDUFA13 subunit family,NDUFA13 GRIM19,GO:0005654; GO:0005737; GO:0005739; GO:0005746; GO:0005747; GO:0008137; GO:0016021; GO:0030308; GO:0032981; GO:0035458; GO:0043280; GO:0045039; GO:0045732; GO:0045892; GO:0071300; GO:0072593; GO:0097190; GO:0097191; GO:2001243,GO:0032981; GO:0043280; GO:0071300; GO:2001243,mitochondrion organization; signal transduction; cell death; cellular component assembly; protein-containing complex assembly
CHOYP_BRAFLDRAFT_127065.4.7.m.28277,-0.0359455909081227,0.00585251863345422,Yes,4,purple,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),,Tgfbi,GO:0001525; GO:0002062; GO:0005178; GO:0005201; GO:0005518; GO:0005604; GO:0005615; GO:0005802; GO:0007155; GO:0008283; GO:0030198; GO:0031012; GO:0050839; GO:0050840; GO:0062023,GO:0030198,extracellular matrix organization
CHOYP_LAMC1.1.1.m.36098,-0.0379645198255789,0.0169221899901412,Yes,4,purple,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),,LAMC1 LAMB2,GO:0005201; GO:0005576; GO:0005604; GO:0005606; GO:0005615; GO:0005788; GO:0007155; GO:0007492; GO:0016477; GO:0022617; GO:0030198; GO:0031581; GO:0034446; GO:0043259; GO:0043260; GO:0043687; GO:0044267; GO:0050679; GO:0062023; GO:0065003; GO:0070062,GO:0007492; GO:0022617; GO:0030198; GO:0031581,cellular component assembly; extracellular matrix organization; cell junction organization; anatomical structure development
CHOYP_ATS6.3.3.m.56109,-0.040906660951862,0.00963476359526082,Yes,4,purple,A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-),,Adamts16 Kiaa2029,GO:0001658; GO:0003073; GO:0004222; GO:0005576; GO:0046872; GO:0048232; GO:1902017,GO:0001658; GO:0003073; GO:1902017,circulatory system process; cellular component assembly; anatomical structure development
CHOYP_EXOS3.1.1.m.10596,-0.0355083395624582,0.00668733875600459,Yes,4,purple,Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10),RRP40 family,EXOSC3 RRP40 CGI-102,GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0034427; GO:0034475; GO:0035327; GO:0043488; GO:0043928; GO:0045006; GO:0045190; GO:0045830; GO:0071034; GO:0071035; GO:0071038; GO:0071049; GO:0071051,GO:0000467; GO:0034427; GO:0034475; GO:0043928; GO:0071035; GO:0071038; GO:0071051,tRNA metabolic process; catabolic process; cellular nitrogen compound metabolic process; nucleobase-containing compound catabolic process; ribosome biogenesis
CHOYP_ADAMTS16.1.1.m.28149,-0.0367435716520092,0.00034078016469003,Yes,4,purple,A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-),,ADAMTS17,GO:0003676; GO:0004222; GO:0005576; GO:0046872,NA,NA
CHOYP_BRAFLDRAFT_260197.1.1.m.8081,-0.0274276129756982,0.0449569581909191,Yes,4,purple,ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B),EMC8/EMC9 family,EMC8 C16orf2 C16orf4 COX4AL COX4NB FAM158B NOC4,GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0016020; GO:0072546,NA,NA
CHOYP_CLEC10A.3.3.m.27236,-0.0365287340214608,0.0202706520840853,Yes,4,purple,Perlucin,,,GO:0030246,NA,NA
CHOYP_CNDP2.4.4.m.56870,-0.0393125470120912,0.0200636506528252,Yes,4,purple,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2),Peptidase M20A family,CNDP2,GO:0004180; GO:0005737; GO:0008237; GO:0046872; GO:0102008; GO:0103046,NA,NA
CHOYP_contig_001129.m.1188,-0.0454089572741155,-0.0108445493787626,Yes,4,purple,NA,NA,NA,NA,NA,NA
CHOYP_contig_004705.m.5404,-0.0377631566880015,0.0243843111631147,Yes,4,purple,NA,NA,NA,NA,NA,NA
CHOYP_contig_024166.m.27453,-0.0370537958938461,0.00286451800100867,Yes,4,purple,NA,NA,NA,NA,NA,NA
CHOYP_DSIM_GD24875.1.1.m.66201,-0.0389182938220335,0.0127123697232495,Yes,4,purple,Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27),Small heat shock protein (HSP20) family,HSPB1 HSP27,GO:0001932; GO:0005634; GO:0005737; GO:0005819; GO:0042802; GO:0042803; GO:0044183; GO:0061077; GO:0099641; GO:1904115,NA,NA
CHOYP_LOC100377801.1.1.m.10929,-0.0360737446962291,0.0189753310036775,Yes,4,purple,Protein MAK16 homolog,MAK16 family,MAK16,GO:0005730; GO:0030687,NA,NA
