protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_TNNC2.1.1.m.32533,-0.00241705527944329,0.025582234233587,Yes,wheat1,pale yellow,Calmodulin (CaM),Calmodulin family,,GO:0005509,NA,NA
CHOYP_LOC100371332.1.6.m.7760,-0.0237705973988838,-0.00558241013870157,Yes,wheat1,pale yellow,Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI),,TFPI TFPI1,GO:0004867; GO:0005615; GO:0007596,NA,NA
CHOYP_contig_005590.m.6345,-0.0243907501098191,-0.000256305709932994,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_contig_024582.m.27943,-0.0239403354052789,0.00345172239032569,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_contig_025827.m.29484,-0.0236116147552634,0.00735930796490349,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_DMOJ_GI23261.2.2.m.30988,-0.023677268744654,0.00762553872117374,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_DWIL_GK12566.1.1.m.26720,-0.0237504614196873,0.00800712345683085,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376426.1.3.m.28097,-0.0237599394354942,0.00301814173255899,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_LOC100905544.1.3.m.6504,-0.0236049931166272,0.0090659519691765,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA
CHOYP_DPSE_GA19599.1.1.m.64309,0.00455009652821305,-0.0271962623902599,Yes,salmon,salmon,Cadherin-23 (Otocadherin),,Cdh23,GO:0005509; GO:0005886; GO:0007156; GO:0007605; GO:0007626; GO:0016021; GO:0032420; GO:0045177; GO:0047485; GO:0060122,GO:0060122,cell differentiation; anatomical structure development
CHOYP_CRE_01395.2.2.m.44269,0.000408386986727626,-0.0269759139425633,Yes,salmon,salmon,Tenascin-X (TN-X) (Hexabrachion-like protein),Tenascin family,TNXB HXBL TNX TNXB1 TNXB2 XB,GO:0005178; GO:0005201; GO:0005576; GO:0005615; GO:0005622; GO:0007155; GO:0008201; GO:0030036; GO:0030199; GO:0031012; GO:0032963; GO:0048251; GO:0062023; GO:0070062; GO:0098633,GO:0048251,cellular component assembly; extracellular matrix organization
CHOYP_LOC100369620.1.1.m.13590,0.00130095350334346,-0.0278216323078052,Yes,salmon,salmon,DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D),Eukaryotic RPC4/POLR3D RNA polymerase subunit family,POLR3D,GO:0003677; GO:0003899; GO:0005666; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607,GO:0045089,immune system process; response to stress
CHOYP_LOC100552337.1.1.m.19614,-0.00189338079086752,-0.0268564621231416,Yes,salmon,salmon,La-related protein 1 (La ribonucleoprotein domain family member 1),LARP family,Larp1 Kiaa0731 Larp,GO:0000339; GO:0003730; GO:0005737; GO:0005844; GO:0006413; GO:0008190; GO:0008283; GO:0008494; GO:0010494; GO:0016239; GO:0017148; GO:0031369; GO:0031929; GO:0031931; GO:0038202; GO:0045070; GO:0048027; GO:0048255; GO:0072752; GO:1990928,GO:0038202; GO:0048255,signal transduction; catabolic process; cellular nitrogen compound metabolic process; nucleobase-containing compound catabolic process
CHOYP_LOC753939.1.1.m.44379,-0.00532956921570523,-0.0267624382315616,Yes,salmon,salmon,Acyl-CoA dehydrogenase family member 9; mitochondrial (ACAD-9) (EC 1.3.99.-),Acyl-CoA dehydrogenase family,ACAD9,GO:0000062; GO:0001676; GO:0004466; GO:0005634; GO:0005739; GO:0005743; GO:0017099; GO:0030425; GO:0031966; GO:0032981; GO:0050660; GO:0051791; GO:0070991,GO:0032981; GO:0051791,lipid metabolic process; mitochondrion organization; cellular component assembly; small molecule metabolic process; protein-containing complex assembly
CHOYP_PI3R4.1.1.m.14910,5.22371259580091e-05,-0.0270891434804087,Yes,salmon,salmon,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),Protein kinase superfamily; Ser/Thr protein kinase family,PIK3R4 VPS15,GO:0004672; GO:0004674; GO:0005524; GO:0005770; GO:0005776; GO:0005829; GO:0005930; GO:0006468; GO:0006623; GO:0015630; GO:0016020; GO:0016236; GO:0016303; GO:0030242; GO:0030670; GO:0032465; GO:0032801; GO:0034162; GO:0034271; GO:0034272; GO:0035032; GO:0042149; GO:0043231; GO:0043552; GO:0045324; GO:0071561,GO:0032801; GO:0042149; GO:0045324,transport; response to stress; vacuolar transport; catabolic process; vesicle-mediated transport
CHOYP_SC24B.1.2.m.95,-0.00405898299723467,-0.027790520850742,Yes,salmon,salmon,Protein transport protein Sec24B (SEC24-related protein B),SEC23/SEC24 family; SEC24 subfamily,SEC24B,GO:0000139; GO:0001843; GO:0002474; GO:0003151; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0008270; GO:0012507; GO:0019886; GO:0021747; GO:0030127; GO:0035909; GO:0048208; GO:0060088; GO:0060463; GO:0060982; GO:0061156; GO:0090110; GO:0090178; GO:1901301,GO:0019886; GO:0035909; GO:0060088; GO:0060982; GO:0061156,cell morphogenesis; immune system process; embryo development; cell differentiation; anatomical structure development
CHOYP_NDUFB9.1.2.m.37494,-0.00810221819685902,-0.0262514429518727,Yes,salmon,salmon,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (NADH-ubiquinone oxidoreductase B22 subunit),Complex I LYR family,NDUFB9 UQOR22,GO:0005747; GO:0006120; GO:0032981,GO:0006120; GO:0032981,generation of precursor metabolites and energy; mitochondrion organization; cellular component assembly; cellular nitrogen compound metabolic process; small molecule metabolic process; protein-containing complex assembly
CHOYP_ISCW_ISCW011108.1.1.m.13934,0.00161084690847404,-0.0265680495323371,Yes,salmon,salmon,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),Adaptor complexes large subunit family,Ap2b1 Clapb1,GO:0003281; GO:0030118; GO:0030119; GO:0030122; GO:0030276; GO:0035904; GO:0038024; GO:0044877; GO:0045807; GO:0048268; GO:0060976; GO:0098794; GO:0098884; GO:0098978; GO:1901215; GO:1905477,GO:0003281; GO:0035904; GO:0048268; GO:0060976; GO:0098884,transport; vesicle-mediated transport; cellular component assembly; anatomical structure development; protein-containing complex assembly
CHOYP_LOC100377501.1.1.m.13155,-0.00724577414596104,-0.0266306402462917,Yes,salmon,salmon,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like),Dus family; Dus3 subfamily,dus3l,GO:0017150; GO:0046872; GO:0050660,NA,NA
CHOYP_FABP6.2.2.m.59518,-0.000931459418639534,-0.0270263129557599,Yes,salmon,salmon,Fatty acid-binding protein homolog 6,Calycin superfamily; Fatty-acid binding protein (FABP) family,lbp-6 W02D3.5,GO:0008289,NA,NA
CHOYP_BRAFLDRAFT_123969.1.1.m.15145,-0.00218058723366504,-0.0275899283533667,Yes,salmon,salmon,Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein ZSIG9) (Transmembrane protein 4),Canopy family,Cnpy2 Msap Tmem4 Zsig9,GO:0005783; GO:0010629; GO:0010988; GO:0045716,NA,NA
CHOYP_IPO9.1.4.m.24013,0.00555611597961454,-0.0267059401109911,Yes,salmon,salmon,Importin-9 (Imp9) (Importin-9a) (Imp9a) (Importin-9b) (Imp9b) (Ran-binding protein 9) (RanBP9),Importin beta family,Ipo9 Imp9 Ranbp9,GO:0005635; GO:0005737; GO:0005829; GO:0006606; GO:0008536; GO:0008565; GO:0042254; GO:0042393; GO:0050821,NA,NA
CHOYP_BRAFLDRAFT_283981.1.1.m.7732,-0.00594369842430662,-0.0285984610734006,Yes,salmon,salmon,Condensin complex subunit 1 (Chromosome assembly protein XCAP-D2) (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (Eg7) (Non-SMC condensin I complex subunit D2),CND1 (condensin subunit 1) family,ncapd2 capd2 cnap1 eg7,GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0051301,NA,NA
CHOYP_CLC10.2.5.m.4673,0.000972723626535472,-0.0275174966612345,Yes,salmon,salmon,Galactose-specific lectin nattectin (CTL),True venom lectin family,,GO:0005576; GO:0006954; GO:0030246; GO:0046872; GO:0090729,NA,NA
CHOYP_ABCF2.1.2.m.28360,0.000159207691025131,-0.0281273701739575,Yes,salmon,salmon,ATP-binding cassette sub-family F member 2,ABC transporter superfamily; ABCF family; EF3 subfamily,Abcf2,GO:0005524; GO:0005739; GO:0016887,NA,NA
CHOYP_CALM.42.50.m.56135,0.00360183549358428,-0.0264794840670549,Yes,salmon,salmon,Calmodulin-2 B,Calmodulin family,calm2-b,GO:0005102; GO:0005509; GO:0019722,NA,NA
CHOYP_XPO7.1.1.m.50167,-0.00530341024151338,-0.0272739051530674,Yes,salmon,salmon,Exportin-7,Exportin family,XPO7 RCJMB04_4p4,GO:0005049; GO:0005643; GO:0005737; GO:0006611; GO:0008536,NA,NA
CHOYP_contig_007115.m.8183,0.00293459332143836,-0.0276337931292546,Yes,salmon,salmon,Pyrroline-5-carboxylate reductase 1; mitochondrial (P5C reductase 1) (P5CR 1) (EC 1.5.1.2),Pyrroline-5-carboxylate reductase family,PYCR1,GO:0004735; GO:0005739; GO:0006561; GO:0034599; GO:0042802; GO:0051881; GO:0055129; GO:1903206,NA,NA
CHOYP_ACSS3.1.1.m.64144,-0.00593080461365859,-0.0276783572531125,Yes,salmon,salmon,Acyl-CoA synthetase short-chain family member 3; mitochondrial (EC 6.2.1.1),ATP-dependent AMP-binding enzyme family,ACSS3,GO:0003987; GO:0005524; GO:0005739,NA,NA
CHOYP_AMPD2.1.2.m.1295,-0.00719109583813663,-0.0263696611805351,Yes,salmon,salmon,AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L),Metallo-dependent hydrolases superfamily; Adenosine and AMP deaminases family,AMPD2,GO:0003876; GO:0005829; GO:0006188; GO:0032264; GO:0043101; GO:0046872; GO:0052652; GO:0097009,NA,NA
CHOYP_LOC100379027.1.1.m.27022,-0.00261901092674071,-0.0264301492940636,Yes,salmon,salmon,39S ribosomal protein L46; mitochondrial (L46mt) (MRP-L46),Mitochondrion-specific ribosomal protein mL46 family,Mrpl46,GO:0003735; GO:0005654; GO:0005762; GO:0016787; GO:0030054,NA,NA
CHOYP_RRP5.1.1.m.7375,-0.00139824412444017,-0.026490454783373,Yes,salmon,salmon,Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11),,PDCD11 KIAA0185,GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0006397; GO:0008134; GO:0032040,NA,NA
CHOYP_BRAFLDRAFT_123736.1.1.m.48671,0.00954293750342606,-0.0264276725949308,Yes,salmon,salmon,Microsomal triglyceride transfer protein large subunit,,mttp mtp,GO:0001579; GO:0002040; GO:0005319; GO:0005548; GO:0005783; GO:0005794; GO:0006629; GO:0006869; GO:0007586; GO:0008289; GO:0015909; GO:0016323; GO:0042157; GO:0042158; GO:0042632,NA,NA
CHOYP_ZC3HF.1.1.m.39867,-0.00349456858853946,-0.0294300918509305,Yes,salmon,salmon,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4),ZC3H15/TMA46 family,ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730,GO:0000981; GO:0002181; GO:0003723; GO:0005730; GO:0005829; GO:0019221; GO:0045296; GO:0046872,NA,NA
CHOYP_U520.1.1.m.7087,0.00348784354874889,-0.0291333660076899,Yes,salmon,salmon,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),Helicase family; SKI2 subfamily,SNRNP200 ASCC3L1 HELIC2 KIAA0788,GO:0000354; GO:0000388; GO:0000398; GO:0001649; GO:0003723; GO:0004004; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0005682; GO:0008026; GO:0016020; GO:0042802; GO:0046540; GO:0071013; GO:0071014,NA,NA
CHOYP_BRAFLDRAFT_63281.2.2.m.46528,0.00585279944661579,-0.0276573321807968,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_contig_004705.m.5404,-0.0053010109004046,-0.0264925748493679,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_contig_039363.m.44567,0.00665810292503999,-0.0263374977818059,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_contig_039460.m.44676,0.00123000350671541,-0.0278611804362621,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_GACZ.1.1.m.42619,0.000196653378531169,-0.0273758823523035,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_MEG10.78.91.m.58715,0.00173739240974885,-0.0268657736153193,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA
CHOYP_ASB3.1.1.m.51103,0.0240076918041041,-0.00245111833828371,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,0.0238746028144481,-0.00734950908164406,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_CAH2.1.1.m.42306,0.023981718792018,0.00376245360503273,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_contig_004572.m.5255,0.0240563862248838,-0.00333831224614758,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_contig_015692.m.18358,0.0237926152643556,-0.0074866902648208,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_contig_016567.m.19514,0.0242126348110974,-0.00489071379991703,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_contig_048541.m.57541,0.0242780497455522,-0.00501460579931219,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_DMBT1.13.34.m.27666,0.0237531217120419,-0.00070331456296553,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW012957.1.2.m.51659,0.0236327363351908,-0.000683765752902354,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376308.1.1.m.60595,0.0244469368601249,-0.00267995997931589,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377364.2.2.m.52803,0.0237137860989847,-0.0064830690417333,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533447.2.3.m.44496,0.023941334625648,0.00443704484504002,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC101169658.1.3.m.18820,0.0244774861978086,-0.00481491460007855,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC101169658.2.3.m.20752,0.0247443686894174,-0.000405574959829729,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LRRX1.6.11.m.41895,0.0240825207575137,-0.00489286005540092,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_MATN1.3.5.m.46206,0.0248778455130937,-0.00293620128591217,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G97278.1.2.m.34546,0.0238656315492526,0.00215799428232442,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_NOV.1.2.m.27550,0.0245086647813458,-0.00354993739128841,Yes,paleturquoise3,paleturquoise3,NA,NA,NA,NA,NA,NA
CHOYP_LOC101067833.2.3.m.25528,-0.00914070088608557,0.0246784627250624,Yes,lightsteelblue,pale purple,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2),Deltex family,DTX3L BBAP,GO:0000209; GO:0002230; GO:0004842; GO:0004857; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005765; GO:0005829; GO:0006302; GO:0006511; GO:0006974; GO:0007219; GO:0008047; GO:0008333; GO:0010390; GO:0015031; GO:0019899; GO:0031901; GO:0032092; GO:0032991; GO:0033522; GO:0033523; GO:0035563; GO:0042393; GO:0044389; GO:0045087; GO:0045893; GO:0046872; GO:0051444; GO:0051607; GO:0051865; GO:0070936; GO:0097677; GO:1900182; GO:1901666; GO:1902966; GO:2000646; GO:2001034,GO:0070936; GO:1900182,cellular protein modification process
CHOYP_BRAFLDRAFT_109340.1.1.m.30107,0.00190696963520882,0.0265942594775362,Yes,lightsteelblue,pale purple,Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (Putative DNA-binding protein A20) (Zinc finger protein A20),Peptidase C64 family,Tnfaip3 Tnfip3,GO:0001922; GO:0002020; GO:0002237; GO:0002315; GO:0002632; GO:0002634; GO:0002637; GO:0002677; GO:0003677; GO:0004842; GO:0004843; GO:0005634; GO:0005737; GO:0005764; GO:0006915; GO:0006954; GO:0007010; GO:0008270; GO:0009611; GO:0010507; GO:0016477; GO:0016579; GO:0019900; GO:0030177; GO:0031397; GO:0032088; GO:0032495; GO:0032691; GO:0032703; GO:0032715; GO:0032720; GO:0034115; GO:0034140; GO:0034148; GO:0035523; GO:0035871; GO:0036459; GO:0042802; GO:0043124; GO:0043130; GO:0043231; GO:0043621; GO:0045088; GO:0045732; GO:0045736; GO:0045824; GO:0048662; GO:0050713; GO:0050728; GO:0050869; GO:0060548; GO:0061578; GO:0070301; GO:0070429; GO:0070433; GO:0070530; GO:0070536; GO:0070936; GO:0071108; GO:0071222; GO:0071947; GO:0072573; GO:0072666; GO:1902042; GO:1903364; GO:1990168; GO:2000347; GO:2000349; GO:2000352,GO:0070936,cellular protein modification process
CHOYP_LOC100377460.1.1.m.38781,0.0103314687070166,0.0269679560214615,Yes,lightsteelblue,pale purple,Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD),Pterin-4-alpha-carbinolamine dehydratase family,PCBD1,GO:0004505; GO:0005654; GO:0005829; GO:0006729; GO:0008124; GO:0042802; GO:0051289; GO:0051291,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_PHUM_PHUM536560.2.2.m.59367,-0.00138013763671971,0.0251179946588896,Yes,lightsteelblue,pale purple,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),,Gfpt1 Gfpt,GO:0004360; GO:0006002; GO:0006042; GO:0006047; GO:0006048; GO:0006487; GO:0006541; GO:0016597; GO:0030246; GO:0032922; GO:0045719; GO:0051289; GO:0097367,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_PK3CD.1.1.m.53039,-0.000572857394256496,0.0246886203150669,Yes,lightsteelblue,pale purple,Phosphatidylinositol 4;5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4;5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta),PI3/PI4-kinase family,PIK3CD,GO:0001779; GO:0001816; GO:0002250; GO:0002551; GO:0002679; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005942; GO:0006468; GO:0006954; GO:0007165; GO:0007411; GO:0010628; GO:0010629; GO:0010818; GO:0014065; GO:0014068; GO:0016020; GO:0016301; GO:0016303; GO:0016310; GO:0016477; GO:0019221; GO:0030101; GO:0030168; GO:0030217; GO:0030335; GO:0030593; GO:0033031; GO:0035004; GO:0035005; GO:0035747; GO:0035754; GO:0036092; GO:0042110; GO:0042113; GO:0042629; GO:0043303; GO:0045087; GO:0046854; GO:0046934; GO:0048015; GO:0050852; GO:0050853; GO:0051897; GO:0060374; GO:0072672,GO:0043303,immune system process; transport; vesicle-mediated transport
CHOYP_LMNB2.1.1.m.55999,-0.00899514487294235,0.0254720617597477,Yes,lightsteelblue,pale purple,Lamin Dm0,Intermediate filament family,Lam CG6944,GO:0000922; GO:0001745; GO:0003682; GO:0005102; GO:0005198; GO:0005634; GO:0005635; GO:0005637; GO:0005638; GO:0005652; GO:0005737; GO:0006342; GO:0006997; GO:0006998; GO:0007084; GO:0007097; GO:0007110; GO:0007112; GO:0007283; GO:0007417; GO:0007430; GO:0007569; GO:0008285; GO:0008344; GO:0030838; GO:0031081; GO:0035262; GO:0040003; GO:0048137; GO:0048546; GO:0050777; GO:0070870; GO:0071763; GO:0090435; GO:1900182; GO:1905832; GO:2000433,GO:0030838; GO:1900182,cytoskeleton organization; cellular component assembly; protein-containing complex assembly
CHOYP_LOC100119086.1.1.m.55425,-0.00149297414195482,0.0262504021432225,Yes,lightsteelblue,pale purple,Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer),Protein kinase superfamily; Tyr protein kinase family; Fes/fps subfamily,FER TYK3,GO:0000226; GO:0000278; GO:0001932; GO:0004713; GO:0004715; GO:0005154; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0005938; GO:0006468; GO:0006935; GO:0007155; GO:0007260; GO:0008157; GO:0008283; GO:0008284; GO:0008289; GO:0010591; GO:0010762; GO:0018108; GO:0019221; GO:0030054; GO:0030335; GO:0030838; GO:0031234; GO:0031532; GO:0032496; GO:0032869; GO:0033007; GO:0034446; GO:0034614; GO:0035426; GO:0035556; GO:0036006; GO:0036119; GO:0038028; GO:0038095; GO:0038109; GO:0042058; GO:0042127; GO:0042995; GO:0043304; GO:0044331; GO:0046777; GO:0048008; GO:0050904; GO:0051092; GO:0070102,GO:0030838,cytoskeleton organization; cellular component assembly; protein-containing complex assembly
CHOYP_MLE.1.9.m.15462,0.000791927886365926,0.0268957690985218,Yes,lightsteelblue,pale purple,Myosin essential light chain; striated adductor muscle (E-LC) (Sulfhydryl light chain) (SHLC),,,GO:0005509; GO:0016459,NA,NA
CHOYP_CALM.49.50.m.63320,-0.00881801545859316,0.0261784786024362,Yes,lightsteelblue,pale purple,Calmodulin (CaM),Calmodulin family,,GO:0005509,NA,NA
CHOYP_CPVL.1.2.m.2978,0.00628411015593761,0.0264995563193764,Yes,lightsteelblue,pale purple,Probable serine carboxypeptidase CPVL (EC 3.4.16.-) (Carboxypeptidase; vitellogenic-like) (Vitellogenic carboxypeptidase-like protein) (VCP-like protein) (hVLP),Peptidase S10 family,CPVL VLP PSEC0124 UNQ197/PRO223,GO:0004185; GO:0051603; GO:0070062,NA,NA
CHOYP_SMP_078690.5.5.m.64878,0.0107594093644878,0.025025664165788,Yes,lightsteelblue,pale purple,Calponin-3 (Calponin; acidic isoform) (Calponin; non-muscle isoform),Calponin family,Cnn3,GO:0003779; GO:0005516; GO:0005829; GO:0005874; GO:0005884; GO:0008017; GO:0014069; GO:0030425; GO:0030674; GO:0030855; GO:0031032; GO:0032780; GO:0043025; GO:0043197,NA,NA
