Entry	Entry_name	Protein_names	Gene _ames	EMBL_ACC
K1QFF7	K1QFF7_CRAGI	Uncharacterized protein	CGI_10006329	EKC20296
K1P959	K1P959_CRAGI	Vacuolar-sorting protein SNF8	CGI_10006279	EKC20302
K1PFB7	K1PFB7_CRAGI	DnaJ-like protein subfamily B member 3	CGI_10006280	EKC20303
K1P964	K1P964_CRAGI	Uncharacterized protein	CGI_10006312	EKC20307
K1QFI3	K1QFI3_CRAGI	Apoptosis-inducing factor 3	CGI_10006300	EKC20321
K1PVM7	K1PVM7_CRAGI	Uncharacterized protein	CGI_10006212	EKC20340
K1QFK8	K1QFK8_CRAGI	Target of Myb protein 1	CGI_10006213	EKC20341
K1PNC5	K1PNC5_CRAGI	Phospholipid scramblase (Fragment)	CGI_10006166	EKC20384
K1PG00	K1PG00_CRAGI	Uncharacterized protein	CGI_10005976	EKC20503
K1PG07	K1PG07_CRAGI	Lupus La-like protein	CGI_10005904	EKC20508
K1PNT6	K1PNT6_CRAGI	Protein CASC3	CGI_10005906	EKC20509
K1QG45	K1QG45_CRAGI	Latrophilin-3	CGI_10005862	EKC20516
K1PA20	K1PA20_CRAGI	Uncharacterized protein	CGI_10005804	EKC20567
K1PA22	K1PA22_CRAGI	Osteoclast-stimulating factor 1	CGI_10005809	EKC20572
K1PWC7	K1PWC7_CRAGI	PERQ amino acid-rich with GYF domain-containing protein 1	CGI_10005699	EKC20590
K1QGD0	K1QGD0_CRAGI	PERQ amino acid-rich with GYF domain-containing protein 2	CGI_10005700	EKC20591
K1QGF1	K1QGF1_CRAGI	Splicing factor 3B subunit 2	CGI_10005720	EKC20631
K1QGF7	K1QGF7_CRAGI	Ankyrin repeat domain-containing protein 49	CGI_10005678	EKC20641
K1QGG9	K1QGG9_CRAGI	Uncharacterized protein	CGI_10005641	EKC20661
K1QGH2	K1QGH2_CRAGI	65 kDa Yes-associated protein	CGI_10005646	EKC20666
K1PGE8	K1PGE8_CRAGI	Calmodulin-5/6/7/8	CGI_10005633	EKC20673
K1QGJ6	K1QGJ6_CRAGI	Galectin-4	CGI_10005550	EKC20706
K1PPH8	K1PPH8_CRAGI	Cysteine-rich protein 1	CGI_10005388	EKC20769
K1PGP0	K1PGP0_CRAGI	PDZ domain-containing protein GIPC1	CGI_10005383	EKC20778
K1PWP8	K1PWP8_CRAGI	Echinoderm microtubule-associated protein-like 1	CGI_10005339	EKC20785
K1PGS0	K1PGS0_CRAGI	Eukaryotic translation initiation factor 3 subunit J	CGI_10005256	EKC20818
K1QGU5	K1QGU5_CRAGI	Allene oxide synthase-lipoxygenase protein (Fragment)	CGI_10005273	EKC20846
K1PX73	K1PX73_CRAGI	Complement component 1 Q subcomponent-binding protein, mitochondrial	CGI_10004885	EKC20990
K1PB33	K1PB33_CRAGI	Protein kinase C (EC 2.7.11.13)	CGI_10004811	EKC21012
K1PB45	K1PB45_CRAGI	Mid1-interacting protein 1	CGI_10004802	EKC21022
K1PHS4	K1PHS4_CRAGI	Ribosome-binding protein 1	CGI_10004563	EKC21093
K1PQI4	K1PQI4_CRAGI	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	CGI_10004564	EKC21094
K1PHT2	K1PHT2_CRAGI	Signal peptide, CUB and EGF-like domain-containing protein 1	CGI_10004590	EKC21103
K1PQJ9	K1PQJ9_CRAGI	ATP synthase subunit delta, mitochondrial	CGI_10004572	EKC21119
K1PBF8	K1PBF8_CRAGI	Tether containing UBX domain for GLUT4	CGI_10004575	EKC21122
K1PQL2	K1PQL2_CRAGI	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	CGI_10004540	EKC21134
K1PBH1	K1PBH1_CRAGI	Sarcoplasmic calcium-binding protein	CGI_10004435	EKC21137
K1PQP2	K1PQP2_CRAGI	Nucleolin	CGI_10004474	EKC21169
K1PBJ2	K1PBJ2_CRAGI	Endophilin-A2	CGI_10004477	EKC21172
K1QHV3	K1QHV3_CRAGI	PC4 and SFRS1-interacting protein	CGI_10004328	EKC21201
K1PBM3	K1PBM3_CRAGI	HD domain-containing protein 3	CGI_10004329	EKC21202
K1QHX0	K1QHX0_CRAGI	Double-stranded RNA-specific editase 1	CGI_10004273	EKC21226
K1PI49	K1PI49_CRAGI	Uncharacterized protein	CGI_10004281	EKC21248
K1QHY8	K1QHY8_CRAGI	Uncharacterized protein	CGI_10004246	EKC21251
K1PQZ5	K1PQZ5_CRAGI	Uncharacterized protein	CGI_10004231	EKC21264
K1PR65	K1PR65_CRAGI	Calmodulin-like protein 12	CGI_10004114	EKC21329
K1PIG4	K1PIG4_CRAGI	Renalase	CGI_10004023	EKC21368
K1QIF2	K1QIF2_CRAGI	Alpha-2-macroglobulin receptor-associated protein	CGI_10003942	EKC21431
K1PCA0	K1PCA0_CRAGI	Septin-7	CGI_10003886	EKC21442
K1PCC8	K1PCC8_CRAGI	Serine/threonine-protein kinase 25	CGI_10003879	EKC21462
K1QIH8	K1QIH8_CRAGI	Guanine nucleotide-binding protein subunit gamma	CGI_10003920	EKC21466
K1PY74	K1PY74_CRAGI	Uncharacterized protein	CGI_10003856	EKC21475
K1QII7	K1QII7_CRAGI	Putative peptidyl-tRNA hydrolase 2	CGI_10003857	EKC21476
K1PRM7	K1PRM7_CRAGI	Uncharacterized protein	CGI_10003872	EKC21484
K1PYB5	K1PYB5_CRAGI	Uncharacterized protein	CGI_10003801	EKC21515
K1QIV3	K1QIV3_CRAGI	Uncharacterized protein	CGI_10003794	EKC21546
K1PCN1	K1PCN1_CRAGI	Uncharacterized protein	CGI_10003795	EKC21547
K1PYI6	K1PYI6_CRAGI	Thioredoxin	CGI_10003765	EKC21560
K1PRY7	K1PRY7_CRAGI	Uncharacterized protein	CGI_10003636	EKC21599
K1PYM1	K1PYM1_CRAGI	COX assembly mitochondrial protein	CGI_10003621	EKC21615
K1PCV0	K1PCV0_CRAGI	Severin	CGI_10003628	EKC21617
K1QJ41	K1QJ41_CRAGI	Mitochondrial fission factor-like protein B	CGI_10003608	EKC21621
K1PCV6	K1PCV6_CRAGI	Triosephosphate isomerase (EC 5.3.1.1)	CGI_10003538	EKC21627
K1QJ62	K1QJ62_CRAGI	SWI/SNF-related matrix-associated actin-dependent regulator chromatin subfamily E member 1	CGI_10003516	EKC21661
K1PCX8	K1PCX8_CRAGI	Calpain-9	CGI_10003593	EKC21667
K1PYR8	K1PYR8_CRAGI	Lachesin	CGI_10003546	EKC21675
K1PYT9	K1PYT9_CRAGI	Uncharacterized protein	CGI_10003464	EKC21700
K1PS69	K1PS69_CRAGI	Importin-9	CGI_10003446	EKC21724
K1PJC1	K1PJC1_CRAGI	Adipophilin	CGI_10003372	EKC21733
K1PZ25	K1PZ25_CRAGI	Uncharacterized protein	CGI_10003282	EKC21805
K1PZ82	K1PZ82_CRAGI	Collagen alpha-3(VI) chain	CGI_10003195	EKC21865
K1PDF8	K1PDF8_CRAGI	Splicing factor, arginine/serine-rich 6	CGI_10003051	EKC21922
K1QJW2	K1QJW2_CRAGI	Calbindin-32	CGI_10002981	EKC21991
K1PZL5	K1PZL5_CRAGI	Fucolectin-5	CGI_10002974	EKC22005
K1PZU1	K1PZU1_CRAGI	Hsc70-interacting protein	CGI_10002862	EKC22060
K1PE57	K1PE57_CRAGI	Severin	CGI_10002689	EKC22157
K1QKB9	K1QKB9_CRAGI	Intermediate filament tail domain-containing protein 1	CGI_10002687	EKC22176
K1Q063	K1Q063_CRAGI	Pinin	CGI_10002641	EKC22210
K1PE93	K1PE93_CRAGI	Uncharacterized protein	CGI_10002631	EKC22222
K1PTY4	K1PTY4_CRAGI	Plasminogen	CGI_10002384	EKC22374
K1Q0M9	K1Q0M9_CRAGI	Plasminogen	CGI_10002385	EKC22375
K1Q0N9	K1Q0N9_CRAGI	Uncharacterized protein	CGI_10002360	EKC22385
K1PU25	K1PU25_CRAGI	Uncharacterized protein	CGI_10002332	EKC22414
K1Q0T5	K1Q0T5_CRAGI	Uncharacterized protein	CGI_10002317	EKC22425
K1PU47	K1PU47_CRAGI	Uncharacterized protein	CGI_10002291	EKC22434
K1PEZ6	K1PEZ6_CRAGI	Kyphoscoliosis peptidase	CGI_10002248	EKC22452
K1QLL4	K1QLL4_CRAGI	Proline-rich protein PRCC	CGI_10002111	EKC22531
K1PUK5	K1PUK5_CRAGI	Uncharacterized protein	CGI_10001933	EKC22589
K1PUM5	K1PUM5_CRAGI	Cytoplasmic aconitate hydratase	CGI_10001851	EKC22634
K1PFM8	K1PFM8_CRAGI	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	CGI_10001793	EKC22667
K1PUQ4	K1PUQ4_CRAGI	Uncharacterized protein	CGI_10001712	EKC22689
K1QM32	K1QM32_CRAGI	Uncharacterized protein	CGI_10001667	EKC22696
K1PUR2	K1PUR2_CRAGI	Nucleobindin-2	CGI_10001658	EKC22699
K1Q1K8	K1Q1K8_CRAGI	Elongation factor 1-beta	CGI_10001659	EKC22700
K1PFS5	K1PFS5_CRAGI	Elongation factor 1-gamma	CGI_10001571	EKC22737
K1PM00	K1PM00_CRAGI	Coiled-coil domain-containing protein 12	CGI_10001529	EKC22753
K1QM99	K1QM99_CRAGI	Annexin A4	CGI_10001516	EKC22771
K1PG09	K1PG09_CRAGI	Death domain-containing protein CRADD	CGI_10001381	EKC22847
K1PV35	K1PV35_CRAGI	Kyphoscoliosis peptidase	CGI_10001357	EKC22859
K1PV82	K1PV82_CRAGI	Uncharacterized protein	CGI_10001256	EKC22894
K1PMI8	K1PMI8_CRAGI	DNA-directed RNA polymerases I, II, and III subunit RPABC2	CGI_10001199	EKC22908
K1QN47	K1QN47_CRAGI	Nuclear distribution protein nudE-like protein 1	CGI_10000995	EKC22996
K1PMZ5	K1PMZ5_CRAGI	Phosducin-like protein 3 (Fragment)	CGI_10000980	EKC23003
K1Q2C3	K1Q2C3_CRAGI	Multidrug resistance protein 1 (Fragment)	CGI_10000886	EKC23020
K1PVV6	K1PVV6_CRAGI	Putative aminopeptidase W07G4.4	CGI_10000669	EKC23074
H6BD77	H6BD77_OSTED	Small ubiquitin-related modifier (SUMO) (Fragment)		AFA34409
K1PGT5	K1PGT5_CRAGI	Uncharacterized protein	CGI_10000542	EKC23097
K1PGU1	K1PGU1_CRAGI	Eukaryotic translation initiation factor 4E	CGI_10000487	EKC23107
K1Q2N9	K1Q2N9_CRAGI	LSM domain-containing protein 1	CGI_10000380	EKC23115
K1QNK5	K1QNK5_CRAGI	Putative ATP-dependent RNA helicase DDX58	CGI_10000225	EKC23131
K1PNF3	K1PNF3_CRAGI	LIM domain-binding protein 3	CGI_10013612	EKC23193
K1Q2W6	K1Q2W6_CRAGI	TRAF3-interacting protein 1	CGI_10012204	EKC23205
K1PW59	K1PW59_CRAGI	Uncharacterized protein	CGI_10020924	EKC23244
K1PH40	K1PH40_CRAGI	B-cell linker protein	CGI_10020933	EKC23252
K1Q324	K1Q324_CRAGI	Heterogeneous nuclear ribonucleoprotein K	CGI_10019631	EKC23265
K1PNK5	K1PNK5_CRAGI	Ras GTPase-activating-like protein IQGAP1	CGI_10019634	EKC23268
K1PNL0	K1PNL0_CRAGI	Microtubule-associated protein futsch	CGI_10019640	EKC23273
K1QP17	K1QP17_CRAGI	Caprin-1	CGI_10010975	EKC23296
K1PH89	K1PH89_CRAGI	Calumenin	CGI_10008850	EKC23322
K1QP56	K1QP56_CRAGI	Proteasome inhibitor PI31 subunit	CGI_10008854	EKC23326
K1PNY5	K1PNY5_CRAGI	Splicing factor, proline-and glutamine-rich	CGI_10012127	EKC23378
K1PHE2	K1PHE2_CRAGI	TAR DNA-binding protein 43	CGI_10019609	EKC23392
K1QPK0	K1QPK0_CRAGI	RNA-binding protein Nova-1	CGI_10013296	EKC23416
K1PHJ9	K1PHJ9_CRAGI	Collagen-like protein 2	CGI_10012006	EKC23462
K1PWQ7	K1PWQ7_CRAGI	Collagen alpha-5(VI) chain	CGI_10012008	EKC23464
K1PPA5	K1PPA5_CRAGI	Group XIIA secretory phospholipase A2	CGI_10012012	EKC23468
K1PHK7	K1PHK7_CRAGI	Excitatory amino acid transporter 2	CGI_10012016	EKC23472
K1Q3N8	K1Q3N8_CRAGI	Src substrate cortactin	CGI_10012019	EKC23475
K1PPF4	K1PPF4_CRAGI	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	CGI_10010509	EKC23503
K1PWZ5	K1PWZ5_CRAGI	Uncharacterized protein	CGI_10005495	EKC23549
K1Q3Y8	K1Q3Y8_CRAGI	Interferon-induced protein 44-like protein	CGI_10011953	EKC23550
K1PHW9	K1PHW9_CRAGI	Uncharacterized protein	CGI_10011960	EKC23557
K1PHZ9	K1PHZ9_CRAGI	Sulfotransferase 1A1 (Fragment)	CGI_10009291	EKC23587
K1PPS3	K1PPS3_CRAGI	Sulfotransferase 1A1	CGI_10009292	EKC23588
K1Q450	K1Q450_CRAGI	Uncharacterized protein	CGI_10009294	EKC23590
K1PX56	K1PX56_CRAGI	Transcription elongation regulator 1	CGI_10009015	EKC23634
K1QQA0	K1QQA0_CRAGI	Forkhead box protein O	CGI_10007980	EKC23646
K1QQA4	K1QQA4_CRAGI	Uncharacterized protein	CGI_10007985	EKC23651
K1PX68	K1PX68_CRAGI	Tyrosine-protein phosphatase non-receptor type 6	CGI_10006445	EKC23654
K1PX78	K1PX78_CRAGI	Putative thiopurine S-methyltransferase	CGI_10017915	EKC23669
